	Coef.	Std.Err.	z	P>|z|	[0.025	0.975]
Intercept	90.093	168.991	0.533	0.594	-241.124	421.309
group[T.Reward]	332.717	258.138	1.289	0.197	-173.224	838.659
trial	-1.487	3.976	-0.374	0.708	-9.279	6.306
trial:group[T.Reward]	-7.737	6.073	-1.274	0.203	-19.640	4.167
Group Var	16.687	3.507				
